firewall,4,1,7,1760632,1760632,15440819,15440819,0,15440819,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1760656,1760656,15440911,15440911,15440911,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1755980,1755979,17196715,17196714,0,17196714,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1756130,1756130,17196903,17196903,0,17196903,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1756152,1756152,17196967,17196967,0,17196967,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1756118,1756118,17197033,17197033,0,17197033,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1755545,1755545,17197067,17197067,17197067,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1756964,1756968,18953867,18953867,0,18953867,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1757144,1757156,18954123,18954123,0,18954123,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1757226,1757226,18954253,18954253,0,18954253,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1757229,1757235,18954308,18954308,0,18954308,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1757238,1757238,18954352,18954352,18954352,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1760102,1760101,20714225,20714224,0,20714224,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1760252,1760252,20714505,20714505,0,20714505,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1760260,1760260,20714565,20714565,0,20714565,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1760257,1760261,20714617,20714617,0,20714617,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1760271,1760271,20714672,20714672,20714672,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1765043,1765043,22479548,22479548,0,22479548,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1765116,1765116,22479681,22479681,0,22479681,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1765101,1765104,22479713,22479713,0,22479713,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1765080,1765080,22479759,22479759,0,22479759,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1765136,1765136,22479831,22479831,22479831,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1763147,1763149,24242828,24242828,0,24242828,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1763267,1763267,24242980,24242980,0,24242980,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1763436,1763436,24243195,24243195,0,24243195,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1763460,1763460,24243299,24243299,0,24243299,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1763513,1763519,24243402,24243402,24243402,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1761019,1761015,26003999,26003995,0,26003995,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1761018,1761018,26004225,26004225,0,26004225,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1760976,1760976,26004271,26004271,0,26004271,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1760889,1760889,26004300,26004300,0,26004300,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1760884,1760876,26004351,26004343,26004343,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1757832,1757831,27762057,27762054,0,27762057,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1757969,1757971,27762242,27762242,0,27762242,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1757984,1757986,27762281,27762281,0,27762281,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1757976,1757976,27762329,27762329,0,27762329,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1757948,1757950,27762367,27762367,27762367,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1760585,1760586,29522827,29522827,0,29522827,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1760738,1760738,29523023,29523023,0,29523023,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1760778,1760780,29523107,29523107,0,29523107,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1760795,1760800,29523172,29523172,0,29523172,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1760798,1760798,29523199,29523199,29523199,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1760974,1760968,31283997,31283991,0,31283991,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1761092,1761097,31284215,31284215,0,31284215,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1761117,1761117,31284279,31284279,0,31284279,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1761116,1761113,31284325,31284319,0,31284319,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1761135,1761135,31284375,31284375,31284375,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1759948,1759952,33044163,33044163,0,33044163,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1760114,1760116,33044398,33044395,0,33044395,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1760129,1760128,33044447,33044446,0,33044446,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1760174,1760177,33044564,33044564,0,33044564,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1760592,1760595,33045051,33045051,33045051,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1756612,1756612,34801007,34801007,0,34801007,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1756805,1756805,34801252,34801252,0,34801252,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1756741,1756732,34801305,34801296,0,34801296,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1756292,1756292,34801351,34801351,0,34801351,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1756292,1756292,34801409,34801409,34801409,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1761072,1761072,36562324,36562324,0,36562324,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1761296,1761282,36562601,36562587,0,36562596,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1761318,1761315,36562667,36562664,0,36562664,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1761325,1761317,36562744,36562732,0,36562744,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1761350,1761350,36562805,36562805,36562805,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1761186,1761186,38323773,38323773,0,38323773,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1761324,1761313,38323991,38323980,0,38323980,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1761325,1761325,38324057,38324057,0,38324057,0,0,W,0,0,0,0,0,0,0,0
firewall,4,1,7,1761308,1761308,38324115,38324115,0,38324115,0,0,W,0,0,0,324335,0,0,0,0
bridge,5,5,8,1761351,1761351,38324199,38324199,38324199,0,0,0,W,0,0,0,0,0,0,0,0
router,1,3,4,1761427,1761427,40085407,40085407,0,40085407,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,2,2,5,1761555,1761550,40085615,40085607,0,40085615,0,0,W,0,0,0,0,0,0,0,0
payload_scan,3,4,6,1761565,1761565,40085676,40085676,0,40085676,0,0,W,0,0,0,0,0,0,0,0
