ndpi_stat,1,2,3,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
router,3,3,5,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
payload_scan,4,4,6,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
bridge,5,5,7,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,1,2,3,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
firewall,2,1,4,27,0,27,0,0,0,0,0,W,0,0,0,0,0,0,0,0
router,3,3,5,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
payload_scan,4,4,6,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
bridge,5,5,7,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,1,2,3,283024,283024,283024,283024,0,283024,0,0,W,0,0,0,0,0,0,0,0
firewall,2,1,4,283017,283050,283050,283050,0,283050,0,0,W,0,70830,0,70830,0,0,0,0
router,3,3,5,283056,283056,283056,283056,0,283056,0,0,W,0,0,0,0,0,0,0,0
payload_scan,4,4,6,283061,283061,283061,283061,0,283061,0,0,W,0,0,0,0,0,0,0,0
bridge,5,5,7,283081,283078,283081,283078,283078,0,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,1,2,3,354943,354941,637993,637991,0,637991,0,0,W,0,0,0,0,0,0,0,0
firewall,2,1,4,354964,354964,638025,638025,0,638025,0,0,W,0,0,0,70830,0,0,0,0
router,3,3,5,354969,354978,638039,638039,0,638039,0,0,W,0,0,0,0,0,0,0,0
payload_scan,4,4,6,354967,354967,638048,638048,0,638048,0,0,W,0,0,0,0,0,0,0,0
bridge,5,5,7,354967,354967,638058,638058,638058,0,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,1,2,3,353515,353515,991540,991540,0,991540,0,0,W,0,0,0,0,0,0,0,0
firewall,2,1,4,353529,353529,991568,991568,0,991568,0,0,W,0,0,0,70830,0,0,0,0
router,3,3,5,353521,353521,991569,991569,0,991569,0,0,W,0,0,0,0,0,0,0,0
payload_scan,4,4,6,353503,353516,991574,991574,0,991574,0,0,W,0,0,0,0,0,0,0,0
bridge,5,5,7,353510,353510,991591,991591,991591,0,0,0,W,0,0,0,0,0,0,0,0
ndpi_stat,1,2,3,353955,353955,1345523,1345523,0,1345523,0,0,W,0,0,0,0,0,0,0,0
