,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads
739,9934.354802768,9913.7285851935,250.701,1717137443.0,337547384.0,1611605.0,1611394.0,1291.0,3692818.0,618300689.0,3751532.0,527243519.0,175.0,1544611.0,2111107.0
740,9970.1064190901,9956.5609012262,253.142,1711813715.0,324036125.0,1550184.0,1550559.0,861.0,3694279.0,618966403.0,3679064.0,514964214.0,113.0,1568725.0,2115888.0
741,9934.1943734158,9916.4711884483,252.579,1713945876.0,336498195.0,1605920.0,1606637.0,215.0,3672489.0,618924772.0,3788928.0,527834647.0,350.0,1556320.0,2114010.0
742,9971.6869921549,9926.4222980332,252.26,1716663202.0,337463129.0,1610247.0,1609779.0,205.0,3680091.0,618893415.0,3776977.0,525668960.0,263.0,1558579.0,2120917.0
743,9942.6568986743,9920.1567042309,259.111,1719004494.0,337571657.0,1564487.0,1565421.0,175.0,3577641.0,618928248.0,3683690.0,512796246.0,250.0,1566451.0,2128458.0
744,9906.0187874189,9917.2645462439,253.7,1712388138.0,336768706.0,1608724.0,1608921.0,230.0,3700742.0,619032747.0,3775047.0,527652805.0,288.0,1567997.0,2117052.0
745,9968.4621561414,9959.1242477852,257.002,1713332202.0,337096338.0,1606847.0,1608483.0,225.0,3696103.0,618981231.0,3782611.0,526158481.0,188.0,1549418.0,2113810.0
746,9940.5794670166,9921.0161040099,248.966,1715323457.0,337127800.0,1559881.0,1559333.0,255.0,3548551.0,617537011.0,3664067.0,513178880.0,683.0,1547261.0,2126955.0
747,9970.3820427457,9903.0875860058,253.792,1713780183.0,336679167.0,1608708.0,1608877.0,170.0,3694323.0,617742787.0,3793583.0,526956075.0,732.0,1534694.0,2114328.0
748,9938.3753555748,9959.1831005763,261.991,1713476654.0,336988327.0,1608829.0,1608154.0,165.0,3680775.0,617810393.0,3784436.0,526702854.0,163.0,1569397.0,2127783.0
749,8409.5515239585,7631.4340680361,250.211,1717960825.0,337702260.0,1568460.0,1565880.0,206.0,3578327.0,618974345.0,3690438.0,512320115.0,163.0,1574100.0,2135955.0
750,2728.2095322562,2727.8442777561,254.275,1716855210.0,337650562.0,1609457.0,1565065.0,290.0,3565782.0,614721748.0,3792073.0,525168971.0,351.0,1564092.0,2117973.0
751,2728.2509484392,2726.562331745,192.426,1717948736.0,337705347.0,1605239.0,1608173.0,276.0,3696568.0,617939670.0,3785073.0,527247895.0,100.0,1548591.0,2125086.0
752,2728.3987810298,2726.0364735202,252.567,1713837611.0,336709407.0,1561366.0,1544952.0,1260.0,3546246.0,615986579.0,3809424.0,525867621.0,250.0,1552487.0,2125161.0
753,2728.5300164551,2728.267424831,10.102,1696220073.0,334223653.0,1600051.0,1599975.0,1079.0,3704490.0,618950533.0,3702976.0,513660032.0,351.0,1567445.0,2120202.0
754,2728.4414881021,2726.9072933054,8.96,1695650692.0,334316845.0,1594690.0,1603553.0,546.0,3717766.0,618956296.0,3806573.0,526796379.0,163.0,1568128.0,2134239.0
755,2728.2379604414,2727.4291565879,6.368,1706211697.0,335986117.0,1604569.0,1558379.0,220.0,3582509.0,616045182.0,3795077.0,526804395.0,188.0,1568592.0,2131025.0
756,2728.3792397378,2726.888257917,4.774,1711053748.0,336360465.0,1608400.0,1608645.0,130.0,3349687.0,618892052.0,2657468.0,581939756.0,388.0,1137663.0,1572442.0
757,2727.9709208693,2726.3098857923,6.733,2091016264.0,411999612.0,1644551.0,1643621.0,256.0,1708444.0,618462264.0,1737848.0,644044873.0,100.0,699862.0,1002146.0
758,2728.0342186889,2727.6315358648,7.975,2040422556.0,407066111.0,1738039.0,1634495.0,175.0,1644699.0,617069208.0,1724659.0,660369028.0,100.0,691513.0,1003177.0
759,2727.904818841,2726.1835671033,6.749,2138785599.0,421587930.0,1676503.0,1676903.0,65.0,1680543.0,618395196.0,1702283.0,643795395.0,182.0,705722.0,991886.0
