,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads
5407,3023.7880621269,2858.8279938113,7.28,1885551165.0,371020383.0,1700095.0,1700990.0,115.0,2447310.0,617115759.0,2619147.0,593059639.0,100.0,1200666.0,1680935.0
5408,2444.8538631627,3266.1114907072,9.408,2106600496.0,418680120.0,1672379.0,1678219.0,100.0,1462449.0,618111542.0,1823474.0,622446384.0,38.0,790676.0,1119229.0
5409,9828.0719925767,9742.3363789347,7.773,2018616968.0,395152940.0,1652858.0,1644733.0,289.0,1980950.0,617948577.0,1043559.0,700108369.0,213.0,423980.0,596731.0
5410,8897.0502574569,8512.3911698007,5.696,1674605475.0,329355825.0,1574578.0,1578643.0,949.0,3943371.0,619129668.0,4039850.0,511023937.0,88.0,1658570.0,2273194.0
5411,4739.9716939539,4359.6318275575,334.221,1783832673.0,347794273.0,1589553.0,1530918.0,987.0,3707553.0,616731931.0,3814212.0,505221806.0,88.0,1609044.0,2207504.0
5412,1385.1390013395,1454.5051602461,13.734,1940293179.0,380757912.0,1620500.0,1618323.0,377.0,2694544.0,618949400.0,2747778.0,594879411.0,163.0,1109033.0,1561061.0
5413,2623.2106062744,3166.0762677573,7.248,2195867378.0,438978067.0,1674043.0,1722168.0,220.0,879364.0,619026964.0,876575.0,713628492.0,213.0,355861.0,541461.0
5414,7714.4845520921,7839.0499678102,5.552,2210000813.0,435476533.0,1692528.0,1650767.0,165.0,1285665.0,617046844.0,1310065.0,664971401.0,63.0,864698.0,1358459.0
5415,9173.2564361443,9283.4722842127,4.886,1700350719.0,338908334.0,1666450.0,1667868.0,70.0,3369033.0,618362406.0,3444412.0,550701897.0,124.0,1502977.0,2062092.0
5416,9589.840523753,9246.0130187218,279.274,1634470280.0,325263761.0,1540365.0,1584109.0,80.0,3752085.0,618983660.0,3826415.0,521827669.0,63.0,1625044.0,2218478.0
5417,6277.2635878517,6033.2716685422,10.928,1664911798.0,327211794.0,1576481.0,1613026.0,170.0,3831020.0,617079516.0,3847405.0,509878613.0,138.0,1576953.0,2272648.0
5418,5885.9868420754,6185.1749118166,256.33,1748804177.0,348744707.0,1672496.0,1628586.0,90.0,3109617.0,618956435.0,2982068.0,570418913.0,1103.0,855997.0,1630602.0
5419,8382.4195413332,8162.5483185912,9.741,1818753337.0,362123758.0,1671253.0,1615418.0,125.0,2970909.0,619007553.0,3302894.0,560630150.0,283.0,1162544.0,1623555.0
5420,6464.8716272808,6417.6520558089,8.589,1723902729.0,339460768.0,1588428.0,1547668.0,155.0,3279537.0,616943462.0,3481324.0,544656837.0,63.0,1531149.0,2082464.0
5421,5679.3923078476,5474.4968981304,304.428,1843832442.0,363688280.0,1605373.0,1605714.0,45.0,3029747.0,618930393.0,3060696.0,551339353.0,75.0,1219903.0,1804256.0
5422,3978.0076606618,4096.2628060698,9.533,1844505216.0,368635808.0,1729840.0,1618190.0,127.0,2618163.0,618238525.0,3002477.0,578802079.0,38.0,1224894.0,1700424.0
5423,4566.4942240391,4133.1493487608,7.59,1984013569.0,390942374.0,1633554.0,1634761.0,1030.0,2209774.0,616330789.0,2245696.0,626196914.0,38.0,902864.0,1291718.0
5424,1378.6837452494,2011.473505358,7.997,2166236023.0,419724120.0,1670440.0,1654210.0,863.0,2663990.0,618237296.0,2671173.0,580018786.0,113.0,1043492.0,1544979.0
5425,7273.7834404968,7263.6642949306,7.94,2124072459.0,436163953.0,1840997.0,1860082.0,543.0,447493.0,621169860.0,461783.0,743560658.0,201.0,180627.0,256150.0
5426,6940.7055330402,6897.3877600628,13.488,1791560365.0,353444155.0,1594030.0,1594921.0,100.0,3230439.0,617041698.0,3403974.0,553675042.0,75.0,1385857.0,1911164.0
5427,6930.3135973245,7243.6247583155,9.61,1809075078.0,355499725.0,1595456.0,1595418.0,85.0,3241590.0,618926275.0,3227448.0,546043742.0,63.0,1262137.0,1843116.0
5428,9536.6061961862,9345.4998082909,10.439,1833244414.0,360559471.0,1597315.0,1595273.0,75.0,3102703.0,617779578.0,3185538.0,566130364.0,38.0,1471010.0,2024354.0
5429,7931.0352541406,7958.1257262958,12.893,1594627677.0,317343713.0,1557621.0,1558963.0,175.0,3791267.0,615542278.0,4024951.0,513335223.0,38.0,1552520.0,2134263.0
5430,7775.3885839433,7224.1727364788,19.353,1761931081.0,346833984.0,1588430.0,1587956.0,130.0,3455612.0,618997505.0,3470654.0,528456142.0,50.0,1365292.0,1833506.0
5431,2928.3167153897,3290.1656695307,301.495,1740151084.0,342138253.0,1587650.0,1587360.0,80.0,3601600.0,619018240.0,2994657.0,590573622.0,675.0,1509184.0,2082699.0
5432,6140.8948084931,5746.3324294059,12.49,2063510335.0,410338112.0,1633719.0,1633110.0,219.0,1773372.0,615067356.0,2379720.0,615732840.0,656.0,658916.0,933361.0
