,input_rate,output_rate,latency,firewall,router,ndpi_stat,payload_scan,bridge,firewall_drop,router_drop,ndpi_stat_drop,payload_scan_drop,bridge_drop,firewall_cycles,bridge_cycles,ndpi_stat_cycles,nf_router_cycles,payload_scan_cycles
0,0.00036359296907701697,0.09928199984591156,0.16986709033569175,0.02155561324315478,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.16333455488781584,0.2159501059770568,0.0,0.0
1,9.779324710539161e-05,0.09893713616488309,0.0023015929735445088,0.021079247933703228,0.023820058899353114,0.023818844698098786,0.023814736150435636,0.02380911376138889,1.0,,0.0,,0.0,0.7568621830287781,0.9712744041953957,0.9484647426609403,0.9373463978974728,0.9032357284491548
2,2.1253457378789056e-05,0.09903818351419061,0.526335464505808,0.02123095451657386,0.02333751078033032,0.02334655480086324,0.023334175666549977,0.023326565961998946,1.0,,0.0,,0.0,0.9847283859979556,0.9992908500031602,0.9994034197180633,0.99800321983539,0.9983193665316158
3,0.00029225305959746186,0.09923879786531056,1.0,0.02145967625748823,0.023493171463886058,0.02349228239888823,0.023486855461912683,0.02348123296427424,1.0,,0.0,,0.0,0.9972371487617828,0.999688253433128,0.9992598279229941,0.9989437970092723,0.9997497677850006
4,0.0,0.09877000574192603,0.06337810078265156,0.020910611294538497,0.02371838266562628,0.023723459361209696,0.023721008640484126,0.023717042184017302,1.0,,0.0,,0.0,0.997708034535592,0.9997691729166798,0.9997335202001261,0.9987943821547485,0.9983583323190603
5,0.20622196875665091,0.23121593431467358,0.06521882541794254,0.1917109780460325,0.023167608800193945,0.02317698086861597,0.02316328027738044,0.023156001708954457,1.0,,0.0,,0.0,0.9977254205066871,0.9995318679660312,0.9352889228713305,0.9981741053814653,0.9993932170577258
6,0.9999045310655372,0.9947740732808061,0.17973865191887986,0.9996215634475437,0.1935935361735557,0.19356665646573482,0.1936055979500502,0.19361493546709765,1.0,,0.0,,0.0,0.9972385322751398,0.9993954751176657,0.9998335772609395,0.9982189310566401,0.9990162397511683
7,0.9976658028566947,0.9944730244005092,0.09401072732903434,0.9975142693817608,0.9996211152723664,0.9996184586524437,0.9996091927146898,0.9996105173561547,1.0,,0.0,,0.0,0.9975384072367849,0.9992284083008794,0.9986519158510238,0.9956450358640795,0.9986567166816741
8,0.9983543011735766,0.9971161965843561,0.13991981074162235,0.9985778752712958,0.9975372492703819,0.9975305796116491,0.9975266535536471,0.9975279775053901,1.0,,0.0,,0.0,0.9970121227454978,0.9994288918019144,0.9991335121835839,0.9035640217887697,0.998247729418334
9,0.9991546689474299,0.9992840119325461,0.03278853748059864,0.9992988964922915,0.999148171748712,0.998589091891849,0.9991468478246109,0.9991375741457712,1.0,,0.0,,0.0,0.9976634537372134,0.9996991408483966,0.9995237877762584,0.9993518064524295,0.9982618396431158
