,input_rate,output_rate,latency,firewall,router,ndpi_stat,payload_scan,bridge,firewall_cycles,bridge_cycles,ndpi_stat_cycles,nf_router_cycles,payload_scan_cycles
72,1.0354572654927,1.035270194376,19.136,1.037101,1.039353,1.039307,1.039353,1.039353,0.2891163072,0.2890940099,0.2891233325,0.2887708899,0.2890951455
73,1.0415498151045,1.0408586696896,13.926,1.042481,1.037099,1.037092,1.037107,1.037108,0.2891382332,0.2890974905,0.2891158802,0.2888043714,0.2889710275
74,1.0376465457307,1.0377909525795,16.688,1.038657,1.042479,1.042412,1.042484,1.041917,0.2840173598,0.2891139287,0.2891075675,0.2888312722,0.2889498338
75,1.4699055308399,1.524756480304,8.56,1.656349,1.03866,1.038634,1.038648,1.038638,0.2891004963,0.2890440538,0.2891659606,0.2888176802,0.2890955497
76,3.1182801114948,3.0721340117909,9.872,3.078976,1.656398,1.656251,1.656464,1.656499,0.289142005,0.2890912502,0.2890157617,0.2888613412,0.2891068212
77,3.1122695014781,3.0565500149662,13.812,3.097152,3.07898,3.078924,3.07898,3.078976,0.2891378297,0.2891297278,0.2440269162,0.2887133529,0.2890727842
78,3.1184269288853,1.1017671837432,14.365,1.414125,3.097168,3.0971,3.097159,3.097156,0.288831195,0.2891300891,0.1892721117,0.288917563,0.2890524723
79,3.1206266220256,0.033599815031414,13.206,0.711377,1.399351,1.399454,1.18989,1.17345,0.2891431873,0.2890208682,0.1891190419,0.2879167875,0.2886994882
80,3.1224163030853,0.034687376284728,12.941,0.710511,0.714949,0.714949,0.409575,0.409575,0.2891597021,0.1867624233,0.1321198884,0.2888095432,0.2889918207
81,3.1284237872404,0.033759552153926,9.677,0.710995,0.721804,0.721653,0.409575,0.409575,0.2891499039,0.0573466857,0.0256716595,0.289060532,0.289220791
82,3.1240911692886,0.034719528263511,10.128,0.721383,0.694598,0.694704,0.393192,0.409575,0.2891945044,0.0578323145,0.0288521174,0.2891091791,0.2890897522
83,3.1271863438744,0.034079273245038,11.095,0.720851,0.721383,0.721383,0.409575,0.409575,0.2891935529,0.0577867887,0.0291125579,0.2889510105,0.2891520506
84,3.121819167256,0.032447339625507,10.214,0.720696,0.720851,0.720848,0.409575,0.409575,0.2891554932,0.0577908963,0.0289090218,0.2890430898,0.28922716
