feature,500_64,500_256,500_imix,1000_64,1000_256,1000_imix,1500_64,1500_256,1500_imix,2000_64,2000_256,2000_imix,2500_64,2500_256,2500_imix,3000_64,3000_256,3000_imix,3500_64,3500_256,3500_imix,4000_64,4000_256,4000_imix,4500_64,4500_256,4500_imix,5000_64,5000_256,5000_imix,5500_64,5500_256,5500_imix,6000_64,6000_256,6000_imix,6500_64,6500_256,6500_imix,7000_64,7000_256,7000_imix,7500_64,7500_256,7500_imix,8000_64,8000_256,8000_imix,8500_64,8500_256,8500_imix,9000_64,9000_256,9000_imix,9500_64,9500_256,9500_imix,10000_64,10000_256,10000_imix
L1-dcache-load-misses,-0.8596411927705013,-0.9927707365832164,-1.009198115302746,-0.672965930757936,-0.9302679188007181,-0.9642089753732309,-0.4830574628378415,-0.8736935797510116,-0.9172876109407623,-0.3014412206809534,-0.8132057602378943,-0.8728839034497067,-0.08271348843054921,-0.7541667824905266,-0.8281434037127794,0.14900571976475196,-0.698145780731149,-0.7851972469239634,0.37418814983266774,-0.6402737203781759,-0.7426821196922425,0.5816770611018317,-0.5824970144548867,-0.7007499047491667,0.7768693542753554,-0.5283248589977959,-0.6581838773352544,0.9638232343109978,-0.4659762556371659,-0.6150545436196161,1.1563761648883701,-0.4033363191888249,-0.5726425642376749,1.3381394012366694,-0.343836920262095,-0.5308545717675657,1.5158271365089824,-0.2823132808635119,-0.48829269046256746,1.6971877633641568,-0.22350825549472825,-0.4435974035226044,1.8793841933301063,-0.1654819941104301,-0.3989685956698879,2.0558675950548055,-0.0987313440451372,-0.3538591518771231,2.238025613379843,-0.0201304077324492,-0.3081770730375757,2.4344678360162626,0.06286780676370447,-0.2628465295558872,2.6589139399545636,0.13624577647769853,-0.21809417236901996,2.828042412276628,0.20928597891590178,-0.16879245861642309
L1-dcache-loads,1.4393869279940403,1.9575449751128997,2.0670826020340343,0.8309397051237158,1.6317754407228247,1.8999816448349167,0.4269922320552135,1.3384035897157351,1.6072375604780693,0.011373828936564098,1.0684266214560234,1.4208364189561964,-0.38397229308781194,0.8243065346625288,1.2281763226924536,-0.7280665359813792,0.6607980561792092,1.0899437476084342,-1.0589564885613785,0.4782219748097494,0.9522045624580383,-1.2690355294051219,0.3392549919800255,0.8888466965509004,-1.3432486572007516,0.1535035742885992,0.732121492713574,-1.3835841083428662,0.010720390040111619,0.6658242155852965,-1.3737805036487278,-0.1572198181384353,0.5638503367829774,-1.3426740095169034,-0.2926767781555732,0.47713263044937276,-1.2954986377554354,-0.4306881123167347,0.3608551310016358,-1.2239433764293166,-0.6210476548450008,0.2859937874363569,-1.1402464865022646,-0.6980409707843434,0.19379176393153494,-1.0595180111300129,-0.8359494328913167,0.08672181714457733,-0.9836926319277852,-0.9826288813911309,-0.046994589461888024,-0.930392890979103,-1.0985045844067314,-0.15616056362316386,-0.86760939704677,-1.2223314561196374,-0.2427170819312257,-0.7910873282169093,-1.3711585247063518,-0.36082423923152995
L1-dcache-stores,0.5459418786183203,0.9455185133660869,1.0420873490665399,0.08110159558225985,0.6391294460938131,0.922117850452753,-0.10849697633259439,0.35574730522342707,0.6204080545002614,-0.34318767554833574,0.1011053981181319,0.46250540953398167,-0.526108876114691,-0.12253165832478277,0.29206264497476125,-0.6568516995130994,-0.23468686180549558,0.1960640539379848,-0.7774684878159027,-0.37266868315759405,0.07913402694412361,-0.7347492449841774,-0.44550053588232463,0.07543069474294244,-0.5175893611339004,-0.5954644388877354,-0.06829212571523469,-0.276028560426482,-0.6675882255558928,-0.07677974267397158,0.012938379896244672,-0.780497542761698,-0.14061260232687084,0.3153236041881785,-0.8588615221711395,-0.1879851326936284,0.6389582590841367,-0.9426540267216093,-0.27556398810633104,0.9992458560715761,-1.1093841663881723,-0.29782201534555724,1.3839388280733196,-1.113295725257808,-0.34626398110914686,1.7684846096012474,-1.2059636219998646,-0.41154098186951754,2.143200969453308,-1.316403853326492,-0.5192848368485898,2.4851202710984515,-1.3623157529509367,-0.5881178726157807,2.837515230196285,-1.392697219560469,-0.6202187183762298,3.2156956578763967,-1.458626635544884,-0.7066725368476129
L1-icache-load-misses,-1.0941785055165372,-0.951914031120002,-1.4799068475118076,-0.7482718407987304,-1.090256460988534,-1.1464231096981636,-0.3302559368868275,-0.9784559674113583,-1.3756562604082365,0.20826136374020268,-0.9388290471914286,-1.285672651267103,0.4193505258740396,-0.8516708775246142,-1.2994682352704638,0.6716293435363095,-0.904246510218446,-1.1649115784752635,0.8168637168462355,-0.7538958163700513,-1.0013870025819434,1.0986871216508565,-0.628922025603979,-0.9214635019893014,1.1292464340028825,-0.619306407637248,-0.9181140315133284,1.137431494123581,-0.2845003103428678,-0.7360530286485605,1.159716848238557,0.25102720626579783,-0.5675741373367028,1.1713391072395227,0.04637146044690783,-0.4618941620991561,1.0890182817855196,0.25673540110524157,-0.49553215658589883,1.3100441478458063,0.20724137482626928,-0.3352973958536313,1.355709121705328,0.16105529424523693,-0.10560454830505389,1.3779821938437027,0.17037672962956632,0.07213027451592653,1.6223414760222732,0.19729238892321824,0.2050013762366105,1.9419261103154888,0.5055173645723235,0.4069498234989651,1.4490644258515222,0.4260225634486681,0.5183613878171007,0.7563018750814401,0.6331797385020153,0.6974864134181383
LLC-load-misses,-0.20131456398148442,0.12734799712231443,-0.030431081178753476,-0.016834443988953396,-0.02918802153187585,-0.08540968603837046,-0.1437818566421632,0.1437224789227901,-0.11919173590174945,-0.09728221799970445,0.014724813857890522,-0.1340219667251937,-0.15413466320620686,-0.02646955464057342,-0.09867027975838466,-0.04105108747997647,-0.07422042812315682,0.1439427788671312,-0.04099773358720635,0.010458653802926337,0.06796597501584888,0.03301659361145957,0.011308013353960056,0.1435271348315189,-0.11589928438983958,-0.06758303175322466,-0.1262310075607725,0.08495918986312623,0.02984547917826883,0.20662843959205515,-0.02489346343721147,-0.11905619980318019,0.03593857978728021,-0.016044892430621627,-0.022083348326876532,0.01608576839685691,-0.0708062092591991,0.037387740358648766,0.1217286274483021,0.12889138755268825,-0.014956731182108845,-0.03865489531193858,-0.15446855530934878,-0.1003887914335765,0.055614979112899136,0.048080893125766244,-0.06734638142238952,-0.01028353255810825,-0.05001282037203835,-0.010517601248970648,-0.10681406305241462,0.09744572186464522,-0.04326312266329171,-0.04324289981683853,0.25541282961039485,0.2996944092429353,0.09136208726886723,0.024719633012379966,0.15965033700798062,0.10608561030677134
LLC-loads,-0.887154302102986,-1.0266069915715235,-1.0429352569649069,-0.6821817891432206,-0.9610283616758275,-0.9954212661745262,-0.4760045437442044,-0.9011453226332269,-0.9457843548315417,-0.2742500150150928,-0.8350561684984298,-0.8990161403174725,-0.04210735289898854,-0.7687638103134263,-0.8504400915845516,0.16578729997855607,-0.7061849652482385,-0.8017917905248511,0.3738820118647271,-0.6416226087730541,-0.7579305333624524,0.5730317290422332,-0.5790567952837314,-0.7139406387345755,0.7635217674328061,-0.5179363369990938,-0.6674007177082946,0.9508519677038202,-0.44800429976010214,-0.6210206087758167,1.1305833080825136,-0.3778156448424527,-0.5759700172764548,1.3076482165605763,-0.3131579774706944,-0.5316069352496519,1.4874754899257145,-0.24534590580990406,-0.48492177515023965,1.6667325621396123,-0.17863750463914513,-0.4370474052078652,1.8505184054671755,-0.1166610041259245,-0.39059123861365463,2.0408991546607,-0.04928015782693115,-0.34047321820803517,2.2390513181339697,0.012554377900418419,-0.2901852281385327,2.4394805586147235,0.08189765202765144,-0.2427935341726015,2.6456310368531852,0.1533872848414356,-0.19353055776275066,2.851446776191914,0.2205614570337699,-0.14413920732052915
LLC-store-misses,0.31349930844619905,0.7794650904450506,0.1597559604029781,0.20486456415994064,0.24310074358306558,-0.1928253283816417,0.22203511670044618,0.272734132912457,-0.4598340756394254,0.23210906796656083,0.2191628496496068,-0.4787490049986114,0.14924766631454145,0.14505135420855905,-0.4828752618106709,0.20035300323130517,0.1865871379754531,-0.3808046985649894,0.16284539886497854,0.22604928504222901,-0.3821567657377014,0.15454384653511355,0.2558017683712894,-0.597135446198939,0.1415696061005904,0.26994593221432517,-0.3972606871074811,0.1475663392603916,0.18443644045201976,-0.31795108885735335,0.10773289913582428,0.17559546235894835,-0.4014429881546789,0.06798352536396446,0.18110881399068146,-0.2094984883352945,0.06673654113213665,0.2696236778622798,-0.45579889070946566,0.1733536929534152,0.09815634045656232,-0.41315623329858964,0.14704092455596976,0.182565964104278,-0.5504926315050649,0.10593247808200547,0.15146141360250548,-0.46637724009182524,0.10729155078410994,0.16625709167902428,-0.4595888821106952,0.09222265706129174,0.1941531097191275,-0.28286039213136716,0.10966642524809664,0.16235501180751813,-0.39174733547574797,0.09422623846748701,0.18402311421787457,-0.38765610631065
LLC-stores,-0.8641997605726076,-1.0247122186257422,-1.050563098855189,-0.6696095518247223,-0.9477998262301943,-0.995831985527651,-0.46834238713425513,-0.8824656291765461,-0.9423872711177997,-0.27114528358476137,-0.8192117065045376,-0.8916653616267121,-0.04992837725429289,-0.7588601859061362,-0.8440587663025324,0.1682152730154263,-0.7024806919460913,-0.8047189324932496,0.3716426884793338,-0.6420259894785637,-0.7572582828428912,0.5717099845501807,-0.5820260094486002,-0.7127077597854148,0.7712250850477252,-0.5239503756494259,-0.6674272814528139,0.966042796570441,-0.4574411530626715,-0.622162260485589,1.1512812819183853,-0.39338048997994834,-0.575047867338426,1.3309890239558622,-0.3302603516518282,-0.5282113105498727,1.5139914476334633,-0.26700432923176654,-0.4801685838158339,1.6948502422708893,-0.20515070189041948,-0.43305536544509304,1.876281010082082,-0.1443596442101682,-0.3858359390977379,2.0575509362209563,-0.07470942266662473,-0.33497618315929095,2.2442755831332253,-0.007434357570838853,-0.28822056798049694,2.42937376978344,0.06241358377126932,-0.23917747852966173,2.623599035241922,0.13132485984280315,-0.1931876628379629,2.817732846472336,0.19679670974509703,-0.14613575488988093
branch-load-misses,-1.1591697129240837,-1.554783507528741,-1.5992395643329214,-0.8468678741440872,-1.3177913865745803,-1.4276092464734846,-0.5103807530715766,-1.2453236809730852,-1.2852945496966393,-0.22030839282277603,-1.2369474300765255,-1.1395179286682353,0.373687894460092,-1.145602255184111,-1.007865710455296,0.7049641276241588,-1.0099017602299694,-0.9088732501392118,1.0079447233571965,-0.9095864188585352,-0.8050846284586538,1.2207563556453367,-0.7710883933782956,-0.6730186656789345,1.3506197705771374,-0.6571571140737886,-0.5542497681336257,1.4016838404640577,-0.47361061927558834,-0.4371923301903732,1.447416853762456,-0.3728990885152116,-0.32385743075357837,1.4887796761905823,-0.2705527027538913,-0.23294595138099594,1.5349753045484618,-0.158553516509889,-0.13633256228808266,1.5698481608388568,-0.05559648626083316,-0.02842287091451321,1.5341247607495905,0.028333438397283344,0.06906688195678433,1.5385826444665796,0.0903491594079192,0.16913116103325693,1.5797849665637473,0.1687743358504366,0.25447365053662263,2.142062989936174,0.2585028980961718,0.32777425756456013,1.6866391466416761,0.29728167142404954,0.4026565246641932,1.0434758261543222,0.3016891255259914,0.48224540428241297
branch-misses,-1.159245293304539,-1.5548543984042151,-1.600008925852762,-0.8465824514719518,-1.317580779338565,-1.4276462507854089,-0.5100851671527435,-1.2452873814557268,-1.2852746858565172,-0.22058993951471037,-1.2367006373246168,-1.1397509633104739,0.3740091020479014,-1.1456876620855752,-1.007747806930695,0.7052477321743954,-1.0099982773954084,-0.9084468425180388,1.0084415433129863,-0.9093296046466507,-0.8050700493236971,1.2212967916357353,-0.7708584242041638,-0.6731195395234223,1.3509490065036465,-0.6590236925055974,-0.5543720446638765,1.4022007122775202,-0.4730023482313263,-0.4369199866871035,1.4475981395929411,-0.37253277969186843,-0.32340771454393785,1.4901914278737696,-0.2703570308522655,-0.23272888133646127,1.5349409373840062,-0.159025684435758,-0.13582634440020822,1.5671923927252802,-0.055523028307251775,-0.0283463763566133,1.529167183209419,0.028486622765760684,0.06915276920412856,1.5244877909140981,0.09097837222540658,0.16945987493891657,1.5807035514123464,0.16917972726919533,0.25498864699887813,2.15096538614144,0.2595148510595291,0.32857740077294695,1.6879046884179667,0.29768604886957906,0.4023946960670514,1.0450153241580011,0.30185308451195014,0.48234718794733905
