500_64; 500_64:1.0000000000000002 1000_64:0.9628233519400027 1500_64:0.8736133309328848 2000_64:0.393838752968308 2500_64:-0.4502852019584754 3000_64:-0.7181366431983288 3500_64:-0.8258212516434608 4000_64:-0.8587981580047622 4500_64:-0.8927646241761796 5000_64:-0.9037134971415447 5500_64:-0.8885527728182628 6000_64:-0.8558429856183568 6500_64:-0.8071724903688388 7000_64:-0.743886063722763 7500_64:-0.6764975170454957 8000_64:-0.6225502888311741 8500_64:-0.5634650096991137 9000_64:-0.5464355114163244 9500_64:-0.4950780791952659 10000_64:-0.4069397644967266 500_256:0.9557173208456906 1000_256:0.9740550116817072 1500_256:0.9694940586660141 2000_256:0.9559419932417005 2500_256:0.9220154669603187 3000_256:0.8889236188299192 3500_256:0.8165907464005738 4000_256:0.7552332543863771 4500_256:0.6080142375292145 5000_256:0.41901884679998996 5500_256:0.13459037995253156 6000_256:-0.012525971874338722 6500_256:-0.19073115654861061 7000_256:-0.3756823820523814 7500_256:-0.41776594376662396 8000_256:-0.491711372083781 8500_256:-0.5445012666576607 9000_256:-0.5589897633438411 9500_256:-0.6897528068622522 10000_256:-0.7021552223433368 500_imix:0.9027474349520919 1000_imix:0.8837522161302209 1500_imix:0.8607888665687934 2000_imix:0.8424390415093505 2500_imix:0.8019655965095462 3000_imix:0.7813467460847295 3500_imix:0.7630771329250219 4000_imix:0.6849651815424906 4500_imix:0.6979002480374393 5000_imix:0.6305712376205997 5500_imix:0.44242580836176437 6000_imix:0.5983178644467588 6500_imix:0.36570650147098543 7000_imix:0.2906637836112729 7500_imix:0.07701633859080814 8000_imix:-0.057462934689862126 8500_imix:-0.24798955097427713 9000_imix:-0.393728520562902 9500_imix:-0.49343007018081636 10000_imix:-0.6031926709913799 
 ; 
 ; 
1000_64; 500_64:0.9628233519400027 1000_64:1.0 1500_64:0.9468984997321765 2000_64:0.5414276165165921 2500_64:-0.2974639412221615 3000_64:-0.5934694654601388 3500_64:-0.7346367835412284 4000_64:-0.7831399671295783 4500_64:-0.8495286988020246 5000_64:-0.8798847149879147 5500_64:-0.897116743859011 6000_64:-0.8891844037074732 6500_64:-0.8677285974624748 7000_64:-0.8263573140926503 7500_64:-0.78066748712464 8000_64:-0.7394306248983126 8500_64:-0.6946162756986679 9000_64:-0.6834940842057952 9500_64:-0.635545737707095 10000_64:-0.5573393750178989 500_256:0.902530975050898 1000_256:0.93662745757329 1500_256:0.962952714238646 2000_256:0.9818975282239321 2500_256:0.9678039741460112 3000_256:0.9568808164792136 3500_256:0.9204406411483085 4000_256:0.8851506737724152 4500_256:0.7686421389200574 5000_256:0.6207513109367867 5500_256:0.34276807424610645 6000_256:0.21240484680414323 6500_256:0.03101812394009358 7000_256:-0.16873092142031718 7500_256:-0.22013082063770656 8000_256:-0.29493195069194783 8500_256:-0.3570995628653451 9000_256:-0.42673775767372135 9500_256:-0.5067334030057898 10000_256:-0.5392958557771157 500_imix:0.8282447145209263 1000_imix:0.8060172350921166 1500_imix:0.7985407787878656 2000_imix:0.7922042664524422 2500_imix:0.7648525773752815 3000_imix:0.7655168334415732 3500_imix:0.7491230116931977 4000_imix:0.6721170807429608 4500_imix:0.6983581787328512 5000_imix:0.6284321239844897 5500_imix:0.40005538860042417 6000_imix:0.6404247155233552 6500_imix:0.40546271133386086 7000_imix:0.3224024656522243 7500_imix:0.13694860025212502 8000_imix:-0.011578898120773987 8500_imix:-0.18089811579564533 9000_imix:-0.3094582745784719 9500_imix:-0.414387224867853 10000_imix:-0.5156288162478565 
 ; 
 ; 
1500_64; 500_64:0.8736133309328848 1000_64:0.9468984997321765 1500_64:1.0 2000_64:0.7553155822139773 2500_64:-0.005773351866644809 3000_64:-0.3424015646386331 3500_64:-0.5102606342388345 4000_64:-0.5764525259698451 4500_64:-0.6594903331186536 5000_64:-0.7298890403124887 5500_64:-0.7701413750133416 6000_64:-0.7912201701605982 6500_64:-0.7956111713126283 7000_64:-0.7850464576580023 7500_64:-0.7537349714219845 8000_64:-0.7498598587244475 8500_64:-0.7222644967142435 9000_64:-0.7248762307732076 9500_64:-0.7010039821951277 10000_64:-0.6348125551560418 500_256:0.7600252751436771 1000_256:0.8021074080561759 1500_256:0.8412783310434752 2000_256:0.8876611710630337 2500_256:0.9002830422854371 3000_256:0.9174280318998762 3500_256:0.9087370424027804 4000_256:0.9133452208796919 4500_256:0.844380777586559 5000_256:0.7439302496622673 5500_256:0.5556425793489177 6000_256:0.4258707538647993 6500_256:0.2645969024953886 7000_256:0.06604851859956555 7500_256:0.033661334055796285 8000_256:-0.050420751355287216 8500_256:-0.11503164102343984 9000_256:-0.21582955549452312 9500_256:-0.3045545707405922 10000_256:-0.32000252489178665 500_imix:0.6431863875526047 1000_imix:0.6204902675416227 1500_imix:0.6158498329714787 2000_imix:0.6155819500825629 2500_imix:0.5918519393015003 3000_imix:0.5857107506391188 3500_imix:0.5787864588538733 4000_imix:0.4892149858073714 4500_imix:0.5578791006484806 5000_imix:0.45478564088971607 5500_imix:0.2793619647401009 6000_imix:0.5254093021004149 6500_imix:0.28199800661307173 7000_imix:0.23375570750706157 7500_imix:0.05848853263586875 8000_imix:-0.041141823096609666 8500_imix:-0.14832872586777676 9000_imix:-0.23367441140903905 9500_imix:-0.35249875959039556 10000_imix:-0.43491477235966136 
 ; 
 ; 
2000_64; 500_64:0.393838752968308 1000_64:0.5414276165165921 1500_64:0.7553155822139773 2000_64:1.0000000000000002 2500_64:0.5859811460652052 3000_64:0.30300502951470654 3500_64:0.12929386530998896 4000_64:0.0567906110403848 4500_64:-0.07435656490797278 5000_64:-0.17757934193275987 5500_64:-0.268703346236469 6000_64:-0.35133128990237256 6500_64:-0.42356471186317207 7000_64:-0.45146970606336023 7500_64:-0.4974557612478866 8000_64:-0.5553356474770856 8500_64:-0.5876346143182982 9000_64:-0.6002147094498955 9500_64:-0.6361687909816371 10000_64:-0.6295008884463638 500_256:0.2513115857258914 1000_256:0.26863328067930925 1500_256:0.3465797119029277 2000_256:0.43884899332496924 2500_256:0.5063417099067897 3000_256:0.5488621637578392 3500_256:0.622821200358906 4000_256:0.7090752328422496 4500_256:0.7449220604167888 5000_256:0.8221787599794557 5500_256:0.8550981454069975 6000_256:0.7841636311105036 6500_256:0.7400480562104835 7000_256:0.5730241658473925 7500_256:0.5594649389392468 8000_256:0.5040322006721984 8500_256:0.4576106393649674 9000_256:0.3198302268776261 9500_256:0.292481720462515 10000_256:0.30270969005322834 500_imix:0.04639751471310895 1000_imix:0.02566178152084484 1500_imix:0.016674538694236955 2000_imix:0.022861214840532617 2500_imix:0.0061857057769603 3000_imix:0.022674347198929003 3500_imix:0.04728888599066464 4000_imix:-0.03641059562516733 4500_imix:0.045974686571360626 5000_imix:-0.00018519611009749958 5500_imix:-0.06008817664982915 6000_imix:0.10915794047202876 6500_imix:-0.05293232743738239 7000_imix:-0.048135000057562605 7500_imix:-0.12531404074616712 8000_imix:-0.08881308841034999 8500_imix:-0.07346932430819447 9000_imix:0.004164270500082614 9500_imix:-0.0787163750102283 10000_imix:-0.07534558104084528 
 ; 
 ; 
2500_64; 500_64:-0.4502852019584754 1000_64:-0.2974639412221615 1500_64:-0.005773351866644809 2000_64:0.5859811460652052 2500_64:1.0 3000_64:0.9201754521493405 3500_64:0.8416658347983386 4000_64:0.7907586101031943 4500_64:0.7031337784708176 5000_64:0.5987217695071759 5500_64:0.5060417264626521 6000_64:0.40198194192589604 6500_64:0.2950785394101606 7000_64:0.1939253285989875 7500_64:0.09884796533174704 8000_64:-0.011422470297844895 8500_64:-0.10538203974293409 9000_64:-0.12183740159061868 9500_64:-0.21684256861819087 10000_64:-0.2856602390408811 500_256:-0.5730641117685367 1000_256:-0.5511109103408509 1500_256:-0.4908952661864328 2000_256:-0.4140373051325906 2500_256:-0.3214824132505928 3000_256:-0.2379198054744489 3500_256:-0.1201869906422836 4000_256:-0.0017319677498334142 4500_256:0.17004613424274348 5000_256:0.3915071966489496 5500_256:0.642018383611034 6000_256:0.7027559739195801 6500_256:0.7996167268418934 7000_256:0.8175349077601036 7500_256:0.8532398363311705 8000_256:0.8617463165932044 8500_256:0.8575246663350427 9000_256:0.752824622357062 9500_256:0.8001216012669039 10000_256:0.8128627723106485 500_imix:-0.7070222239828088 1000_imix:-0.7015482532145787 1500_imix:-0.6829741090533725 2000_imix:-0.6592428344144002 2500_imix:-0.6386609156932941 3000_imix:-0.6230489508305309 3500_imix:-0.5850041598183334 4000_imix:-0.5924859547070899 4500_imix:-0.49235037421354216 5000_imix:-0.5099575607547066 5500_imix:-0.3833904553457503 6000_imix:-0.33264566300361126 6500_imix:-0.3185272150577006 7000_imix:-0.2117758839564014 7500_imix:-0.13198368673208494 8000_imix:0.02816047310324427 8500_imix:0.2205596288576473 9000_imix:0.38886376796832905 9500_imix:0.36430855043973454 10000_imix:0.45331654480676303 
 ; 
 ; 
