Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1670340207,Device: id=0,TX,0.17641224440939,499.97095454912,528.19691365463,35306,12510598
1670340207,Device: id=0,TX,0.1582867567348,446.6831691083,472.00905018586,66988,23686372
1670340207,Device: id=0,TX,0.17462396842974,500.00071635836,527.94055130712,101933,36193622
1670340207,Device: id=0,TX,0.17663059259707,499.94883907774,528.20973389327,137296,48705392
1670340208,Device: id=0,TX,0.17852259921177,500.05140891739,528.61502479128,173006,61208596
1670340208,Device: id=0,TX,0.17743516126746,499.92939138398,528.31901718677,208496,73707876
1670340208,Device: id=0,TX,0.17692971825468,500.00520337346,528.31395829421,243890,86210852
1670340208,Device: id=0,TX,0.17781229227179,499.98124293359,528.43120969708,279475,98718306
1670340208,Device: id=0,TX,0.17673051397057,499.95998820447,528.23687043976,314835,111222220
1670340209,Device: id=0,TX,0.17585473755028,500.02045108521,528.15720909326,350037,123733768
1670340209,Device: id=0,TX,0.17530735712812,499.94861645147,527.99779359197,385141,136247644
1670340209,Device: id=0,TX,0.17768306438661,499.99614851072,528.42543881258,420725,148764216
1670340209,Device: id=0,TX,0.17603091756115,499.98364334236,528.14859015214,455958,161273328
1670340209,Device: id=0,TX,0.17536587622112,500.01944469525,528.07798489063,491095,173796562
1670340210,Device: id=0,TX,0.17696735121515,499.92480927198,528.23958546641,526520,186305816
1670340210,Device: id=0,TX,0.17789440535721,500.02243121099,528.48553606814,562106,198808878
1670340210,Device: id=0,TX,0.1754804074616,499.99975480422,528.07661999808,597209,211311336
1670340210,Device: id=0,TX,0.17892948396717,499.98159571337,528.61031314812,633051,223830472
1670340210,Device: id=0,TX,0.17852775588325,499.9300089039,528.49444984522,668830,236354432
1670340211,Device: id=0,TX,0.17685227351332,499.96009915694,528.25646291908,704254,248872356
1670340211,Device: id=0,TX,0.17674960077606,500.0199062074,528.29984233157,739646,261387734
1670340211,Device: id=0,TX,0.17651225213907,499.96424281481,528.20620315707,775007,273907570
1670340211,Device: id=0,TX,0.1755576573763,499.98181302864,528.07103820885,810145,286416538
1670340211,Device: id=0,TX,0.1758277199945,500.03935585473,528.17179105385,845311,298917684
1670340212,Device: id=0,TX,0.17728035760045,499.94452216907,528.30937938515,880834,311439890
1670340212,Device: id=0,TX,0.1779098819879,499.98218211983,528.44776323789,916420,323940858
1670340212,Device: id=0,TX,0.17382966863381,499.94348212939,527.7562291108,951204,336445940
1670340212,Device: id=0,TX,0.17726503792502,500.00119143286,528.36359750087,986693,348958660
1670340212,Device: id=0,TX,0.17633348742285,499.96387859996,528.17723658761,1022022,361479838
1670340213,Device: id=0,TX,0.17704493138818,500.05949036732,528.38667938943,1057446,373986626
1670340213,Device: id=0,TX,0.17555681067572,499.94430828045,528.03339798857,1092584,386494716
1670340213,Device: id=0,TX,0.17612934173891,499.98490188466,528.16559656288,1127818,398997224
1670340213,Device: id=0,TX,0.17713675792327,499.9414493759,528.28333064363,1163275,411506220
1670340213,Device: id=0,TX,0.17731630376753,500.04036320638,528.41097180918,1198795,424027230
1670340214,Device: id=0,TX,0.17680143764002,499.94168670941,528.22991673182,1234156,436526024
1670340214,Device: id=0,TX,0.17649425163946,499.96424744833,528.20332771064,1269485,449035806
1670340214,Device: id=0,TX,0.17446431691188,499.9829805933,527.8972712992,1304398,461542594
1670340214,Device: id=0,TX,0.17935408626063,500.0063883276,528.7030421293,1340308,474056408
1670340214,Device: id=0,TX,0.17685533638223,500.00298630024,528.2998401214,1375727,486573422
1670340215,Device: id=0,TX,0.17761417151902,499.93822403298,528.35649147603,1411313,499094102
1670340215,Device: id=0,TX,0.17681780835711,499.98397091548,528.27482025262,1446707,511604460
1670340215,Device: id=0,TX,0.17688111474005,500.01912022622,528.32009858463,1482141,524125354
