,input_rate,output_rate,latency,l2fwd_instructions,l2fwd_branches,l2fwd_branch-misses,l2fwd_branch-load-misses,l2fwd_cache-misses,l2fwd_cache-references,l2fwd_cycles,l2fwd_L1-dcache-load-misses,l2fwd_L1-dcache-loads,l2fwd_LLC-load-misses,l2fwd_LLC-stores,l2fwd_LLC-loads
649,3863.6618630313,3955.2037948192,4.848,2292133245.0,437297455.0,1694346.0,1696849.0,100.0,1182771.0,618963556.0,1192118.0,706093755.0,50.0,863276.0,938197.0
650,4529.734990824,4306.1504724321,9.805,2067438117.0,405518149.0,1680585.0,1680213.0,65.0,2448147.0,618957001.0,2665773.0,607102375.0,200.0,1435514.0,1537814.0
651,2366.1359712268,2392.8355821894,9.853,1904107584.0,373055298.0,1650246.0,1650798.0,55.0,3521162.0,617682897.0,3386262.0,599913559.0,13.0,1540846.0,1667890.0
652,3331.5526943087,3974.6555346369,9.68,1994247559.0,390867179.0,1618839.0,1618455.0,180.0,2783130.0,617718224.0,2843598.0,622906910.0,38.0,1356322.0,1499003.0
653,9229.1411387606,8744.7746973471,8.313,2027210436.0,398169539.0,1669712.0,1668730.0,50.0,3295783.0,618951680.0,3459651.0,581824726.0,1167.0,1280196.0,1378252.0
654,4202.9545296058,3991.3840104996,10.618,1860389573.0,371403053.0,1660306.0,1667195.0,20.0,2959379.0,622034511.0,3050261.0,618044836.0,354.0,1971799.0,2102163.0
655,2514.2553181366,2906.7448697773,7.789,2140913443.0,420594721.0,1653586.0,1652591.0,180.0,1976182.0,617787244.0,2056246.0,660639009.0,13.0,844551.0,925877.0
656,6393.6744978353,6354.2060149264,8.339,2062686152.0,404637523.0,1679022.0,1677990.0,70.0,2486965.0,618963918.0,2415457.0,622690105.0,50.0,1080407.0,1169582.0
657,5671.4702185813,5369.8188528515,10.269,2120520917.0,417186259.0,1695721.0,1697139.0,30.0,2182109.0,618832935.0,2763226.0,625349258.0,138.0,1290633.0,1390237.0
658,3011.790389125,3313.206860856,5.767,2215810822.0,435826851.0,1665703.0,1661114.0,250.0,1535576.0,618953984.0,1567527.0,687860980.0,13.0,703392.0,784677.0
659,5707.3557724953,5382.9043603808,7.03,1971308032.0,391359530.0,1675174.0,1684851.0,856.0,1690708.0,619052546.0,1725195.0,660797053.0,63.0,797392.0,1054945.0
660,2845.0276317627,2936.7958385497,18.442,1855010562.0,358057730.0,1635859.0,1631129.0,464.0,4456049.0,618842683.0,4598805.0,546959684.0,225.0,1815082.0,1821222.0
661,6043.1747079727,6257.9948948177,7.392,2049497964.0,401970218.0,1676464.0,1677330.0,10.0,2556069.0,618266283.0,2639895.0,631034572.0,25.0,945211.0,1014753.0
662,7247.5299828856,6569.6786905689,5.161,2258127515.0,444441940.0,1689498.0,1685648.0,130.0,1349284.0,618078843.0,1418703.0,672771095.0,0.0,1121929.0,1224674.0
663,1196.0030406839,1809.7132405468,10.051,1729265903.0,338438780.0,1861082.0,1859150.0,40.0,3352894.0,618923142.0,3429564.0,535013313.0,163.0,1573085.0,1688264.0
664,6763.7742909652,6247.8180848922,7.792,1948274144.0,381813334.0,1654454.0,1657778.0,30.0,3178705.0,618970942.0,2766232.0,636152773.0,50.0,1173402.0,1273424.0
665,1817.5686787601,1973.0911025351,6.759,1501036554.0,294586093.0,1214242.0,1109188.0,80.0,1933270.0,254030347.0,2405056.0,311008002.0,213.0,1158372.0,1035692.0
666,3457.7377536471,3542.8900635593,11.616,1928224853.0,378613140.0,1622071.0,1628647.0,255.0,2363155.0,602744168.0,2326198.0,620908251.0,1210.0,1537954.0,1654930.0
667,4054.2382318788,3818.7673183995,15.552,1941970391.0,385515630.0,1532982.0,1584131.0,376.0,2122605.0,582519037.0,1572362.0,549556319.0,1056.0,578443.0,666606.0
668,2239.8952180364,2715.9201603564,1928.288,1894644372.0,370516768.0,1633050.0,1564010.0,1763.0,3243306.0,597163459.0,3171179.0,557845793.0,564.0,1492857.0,1600429.0
669,6788.0150909643,6598.2663112432,12.787,2157010945.0,423427956.0,1726012.0,1726155.0,220.0,2119692.0,619072028.0,2678139.0,616688261.0,204.0,1891715.0,1979746.0
670,4947.8653472352,4983.7833239447,5.577,2093816895.0,415553659.0,1679781.0,1724948.0,180.0,2005129.0,618234071.0,815441.0,756036123.0,150.0,177257.0,201136.0
671,4874.3957555715,4438.4173923238,10.045,2102958639.0,413126931.0,1700712.0,1655997.0,205.0,2672894.0,615306452.0,3726306.0,584296430.0,75.0,1744323.0,1859274.0
672,1487.2153206203,2335.9680562001,4.921,2222358982.0,436971421.0,1726744.0,1730255.0,1092.0,1114632.0,618344528.0,1111325.0,694862230.0,163.0,493541.0,634216.0
673,8989.6578368163,8196.3997003991,6.515,1992818035.0,395624569.0,1882269.0,1691411.0,887.0,2050839.0,618330776.0,2143506.0,658202127.0,63.0,1048443.0,1180491.0
674,1178.1107089043,1164.2434574496,9.715,2068878606.0,405493972.0,1682333.0,1630016.0,454.0,2459230.0,616036577.0,2573543.0,635332083.0,38.0,861622.0,938445.0
675,1474.7884221122,1885.1929870903,10.589,2298830576.0,452115045.0,1745441.0,1745811.0,30.0,1157623.0,618949930.0,1176521.0,685411206.0,63.0,1027724.0,1199130.0
676,5921.0429947972,6294.5365376999,8.79,1907396982.0,372695908.0,1644512.0,1644078.0,110.0,3530054.0,618937451.0,3502189.0,596866395.0,363.0,1508299.0,1603347.0
677,8696.8060137939,7876.6193737762,8.893,1925366996.0,382921185.0,1626710.0,1669570.0,80.0,2673510.0,615602586.0,2888935.0,619643749.0,50.0,1364818.0,1459676.0
678,986.2753181491,1315.701403056,7.913,1990347092.0,390579958.0,1665847.0,1665930.0,50.0,2476490.0,617808774.0,1656662.0,669204547.0,75.0,776567.0,941103.0
679,4008.3679625449,3755.7700772595,4.941,2441580577.0,480968661.0,1784286.0,1769748.0,100.0,2103114.0,618938090.0,2501660.0,651153681.0,150.0,636569.0,201259.0
680,2274.7628129575,2996.378219041,18.528,1736725801.0,356612222.0,1616612.0,1629421.0,110.0,2626176.0,616685303.0,2710199.0,640346781.0,1175.0,2169856.0,2283893.0
681,9243.6372252388,9093.7297415448,5.04,2375320428.0,467715552.0,1770810.0,1771045.0,80.0,742940.0,619044965.0,774349.0,715502155.0,313.0,372604.0,424875.0
