,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads
46,4276.9040553569,3883.2629460688,11.296,2079719033.0,409394801.0,1676978.0,1676651.0,180.0,1944653.0,618950014.0,2000830.0,623761848.0,376.0,1163663.0,1434635.0
47,1264.5414509208,1921.9443830052,5.882,1757374173.0,341045627.0,1761554.0,1812363.0,395.0,3192263.0,618865519.0,3258023.0,564098389.0,1772.0,1307741.0,1869732.0
48,6922.2098879468,6447.0785759722,38.028,2067936622.0,406823292.0,1617447.0,1614360.0,190.0,2014227.0,618318476.0,2111505.0,637842247.0,387.0,850130.0,1222049.0
49,2723.800412198,2921.5409952845,6.365,2203956751.0,433957064.0,1690312.0,1689498.0,100.0,1390338.0,618982325.0,1409131.0,655054628.0,88.0,559153.0,814121.0
50,4213.39778523,3849.5131838002,6.48,2146534778.0,423264885.0,1674149.0,1674671.0,180.0,1667169.0,618221412.0,1718205.0,660693371.0,313.0,651266.0,972292.0
51,1422.978406628,2040.7038072345,39.328,2012112463.0,396615778.0,1643552.0,1604012.0,321.0,2325126.0,616356395.0,2429559.0,621650225.0,125.0,933958.0,1352400.0
52,6941.2248088959,6694.0656884563,8.547,1955845504.0,384946098.0,1629772.0,1630452.0,1012.0,2572188.0,618192163.0,2628291.0,585429235.0,338.0,1063123.0,1546547.0
53,4611.4950472904,4528.8183697328,4.848,1997343257.0,393349439.0,1634731.0,1633356.0,981.0,2381521.0,618279077.0,2439201.0,617284961.0,288.0,980288.0,1412816.0
54,4421.8794298793,4944.2852949886,15.232,1679143982.0,343818159.0,1680598.0,1612637.0,631.0,2893620.0,618197583.0,2987851.0,577162854.0,263.0,1157887.0,1707787.0
55,9015.2310482512,8778.6851046062,8.375,1915936485.0,376397296.0,1620599.0,1709945.0,230.0,2670282.0,616209195.0,2829729.0,571291888.0,350.0,1156839.0,1641669.0
56,6334.382392945,5794.4942445917,9.306,1982552102.0,389597746.0,1627837.0,1628883.0,701.0,2423833.0,618329407.0,2502469.0,613109088.0,258.0,1006183.0,1441187.0
57,1983.7013838035,2670.2213271776,4.746,1860355642.0,370892766.0,1586669.0,1628511.0,185.0,2678688.0,618947811.0,2749457.0,597969602.0,188.0,1086570.0,1572151.0
58,8116.8149925745,7803.6032331494,10.204,1877757049.0,369917305.0,1617693.0,1574295.0,255.0,2858323.0,616826736.0,2922450.0,566330368.0,200.0,1198538.0,1759869.0
59,5755.2451964337,6207.2059139384,8.416,1856810677.0,365609204.0,1611469.0,1610444.0,210.0,3024640.0,618342721.0,3098639.0,574716061.0,138.0,1052903.0,1646233.0
60,9662.5684084946,9437.2376242518,6.966,1919632880.0,383159588.0,1594166.0,1639614.0,155.0,2282961.0,617542930.0,2358873.0,621991946.0,1051.0,879492.0,1358909.0
61,7683.5012328023,7755.3178652446,16.973,2064577098.0,406402559.0,1650737.0,1719621.0,225.0,1984299.0,616915388.0,2038345.0,621280948.0,362.0,828811.0,1203436.0
62,8316.8559533626,8288.0726441558,13.12,2036926907.0,400510721.0,1644314.0,1639217.0,646.0,2229666.0,617611922.0,2271664.0,626780322.0,150.0,850720.0,1301481.0
63,8224.0729094873,8313.9303889178,4.855,1857873815.0,370061463.0,1976750.0,1623996.0,145.0,2649043.0,618983303.0,2892359.0,587625000.0,188.0,1071881.0,1551740.0
64,8839.985238812,8334.1239378583,14.086,1934093875.0,380875295.0,1626731.0,1626734.0,180.0,2482071.0,615984516.0,2640741.0,598677517.0,313.0,1101510.0,1578917.0
65,3825.3006095427,3797.1862059879,11.597,1906790443.0,375442437.0,1624123.0,1621766.0,388.0,3119641.0,619012951.0,2846025.0,570212740.0,250.0,1062670.0,1646466.0
66,4007.83721432,4420.9849524848,18.944,1886003991.0,379806684.0,1747372.0,1751705.0,900.0,2448040.0,619052183.0,2633205.0,603432570.0,150.0,1051121.0,1482701.0
67,7859.1450018966,7863.8283342484,14.746,1818137883.0,362083120.0,1621266.0,1624446.0,624.0,2520475.0,616907538.0,2700573.0,599370503.0,150.0,1068728.0,1520251.0
68,8088.1448553578,8183.0741721459,15.248,2084963348.0,405672572.0,1667915.0,1662468.0,90.0,2299076.0,618921085.0,2277495.0,606147860.0,163.0,930665.0,1371235.0
69,8898.3826857109,8527.170117446,12.867,2098524220.0,413424095.0,1668987.0,1666090.0,130.0,1900176.0,616399754.0,1943079.0,646098175.0,50.0,766510.0,1127080.0
70,4795.7351214972,4412.6939345315,20.374,1781157482.0,355390584.0,1710805.0,1712115.0,280.0,2907873.0,616098391.0,3072085.0,573515825.0,175.0,1221242.0,1753444.0
71,1559.5024551228,1892.093950319,5.792,2000453581.0,393891638.0,1650681.0,1650433.0,190.0,2387424.0,619002204.0,2368642.0,600335271.0,88.0,952234.0,1247091.0
72,4696.7261751211,4728.3154214846,8.346,2046924778.0,402833899.0,1657194.0,1657266.0,115.0,2179639.0,618952742.0,2231774.0,629332029.0,163.0,1097719.0,1723320.0
73,5294.0874597824,5525.6003092303,14.275,1781058276.0,355382108.0,1700065.0,1700835.0,188.0,2924233.0,616871671.0,3109687.0,574616456.0,751.0,1282821.0,1818674.0
74,7317.0405244998,6958.8511427004,12.176,1993332074.0,392064521.0,1639691.0,1641186.0,125.0,2380604.0,617593609.0,2440887.0,602953211.0,455.0,974894.0,1400125.0
75,3792.0955524632,3816.7744836907,16.877,2200086067.0,434189291.0,1694084.0,1693388.0,135.0,1344465.0,618320950.0,1275271.0,688683969.0,150.0,522423.0,760329.0
76,4593.9246860255,5143.930831539,8.938,2016538683.0,402846630.0,1626272.0,1625670.0,228.0,1709746.0,614798470.0,2227881.0,623905554.0,50.0,720833.0,1056972.0
77,9012.8936918131,8294.3811640551,4.89,2142807007.0,422161307.0,1679015.0,1679083.0,155.0,1303049.0,618219190.0,1200447.0,656895150.0,88.0,666169.0,960396.0
78,2307.7706140004,2214.8178461575,10.215,2090978533.0,411747934.0,1672512.0,1659757.0,275.0,2872392.0,618202188.0,2110787.0,645075736.0,288.0,776709.0,1123847.0
79,1703.5139176149,1961.0618065786,8.956,1990577348.0,404885261.0,1759953.0,1778051.0,1148.0,1773463.0,618284192.0,2194952.0,629391885.0,338.0,875155.0,1257814.0
80,3903.0354672951,3689.7880742601,17.047,2307316109.0,454570356.0,1723634.0,1720611.0,892.0,961892.0,616480588.0,1003745.0,685776671.0,175.0,395516.0,583068.0
81,2398.4729484605,2869.2775490401,11.715,1840405217.0,374069885.0,1637281.0,1648184.0,494.0,2215030.0,616657416.0,2277931.0,624687908.0,1114.0,888330.0,1280806.0
82,6875.1656723741,6981.417220689,11.354,1827234764.0,364146648.0,1576750.0,1576873.0,235.0,2728878.0,618998642.0,2810603.0,591155968.0,188.0,1128224.0,1604213.0
83,7559.5602300982,7202.0652027281,24.707,1997893920.0,393551634.0,1638018.0,1638203.0,105.0,2315170.0,615740235.0,2389480.0,601475629.0,63.0,964577.0,1397495.0
84,4307.5167846531,4318.6393229591,5.277,1971320084.0,387992645.0,1631754.0,1631287.0,180.0,2509210.0,618999959.0,2550259.0,607312716.0,125.0,1019639.0,1351195.0
85,4360.1846160631,4353.1775217658,5.117,2086608517.0,416324544.0,1763902.0,1766107.0,180.0,1442332.0,616678594.0,1477817.0,675788005.0,175.0,409156.0,456252.0
86,4696.1957137353,5083.9673415932,11.302,2168862976.0,427338246.0,1685272.0,1685673.0,110.0,1510712.0,616722469.0,1580959.0,667717831.0,113.0,961017.0,1227751.0
87,7913.3373042465,7505.8849698669,7.708,1870902643.0,368607191.0,1615376.0,1616534.0,240.0,2977682.0,617799990.0,3047400.0,571666683.0,1318.0,1291075.0,1597141.0
88,4260.4531311015,4334.6388920522,11.143,1688562647.0,341454035.0,1542538.0,1634625.0,406.0,2761604.0,618997777.0,2634668.0,612899440.0,491.0,1146655.0,1616267.0
89,4621.3291923794,4197.7290808401,11.837,2116134324.0,416734322.0,1664844.0,1666595.0,85.0,1813030.0,616990956.0,1736877.0,637388615.0,163.0,734520.0,1079553.0
90,613.45694478012,635.75381918653,7.462,1975962946.0,388758692.0,1607492.0,1605244.0,936.0,2179138.0,600173953.0,1997637.0,576961434.0,601.0,883712.0,1210001.0
91,1311.669101619,1815.2245962636,8.163,1804284125.0,343022481.0,1729023.0,1729863.0,826.0,3210638.0,613348979.0,3074067.0,518758699.0,803.0,1104598.0,1768993.0
92,5854.6589747706,5679.3256101592,8.054,1826548056.0,356095420.0,1605625.0,1604807.0,3459.0,3199489.0,616163196.0,3203996.0,545755745.0,438.0,1331258.0,1862173.0
93,4439.4788510962,4594.0465955912,15.882,1821311468.0,358079286.0,1614818.0,1614574.0,1265.0,3195124.0,619142765.0,3295924.0,559776716.0,376.0,1329011.0,1769596.0
94,6151.4742801133,5952.8401707708,13.024,1881816556.0,368249916.0,1617422.0,1617043.0,862.0,3113200.0,618696250.0,3166351.0,568792931.0,250.0,1281796.0,1797404.0
95,7003.1316461842,6503.2357542298,8.192,1953940853.0,370384210.0,1577685.0,1580684.0,310.0,2631523.0,615772180.0,2650792.0,583057133.0,88.0,1083883.0,1555564.0
96,3615.7511932464,3418.8027369578,4.96,2099614003.0,413596719.0,1664391.0,1664746.0,120.0,1860745.0,618846824.0,1913809.0,648806992.0,194.0,758512.0,1108390.0
97,2553.8293102418,3331.4964425857,6.051,2294100871.0,451822692.0,1719948.0,1719891.0,195.0,937429.0,618995627.0,972616.0,707642678.0,75.0,376377.0,524000.0
98,9890.9853652707,9770.0475422261,9.501,2143394333.0,406910400.0,1636948.0,1636511.0,280.0,1688122.0,617596805.0,1659538.0,647267901.0,138.0,992417.0,1685665.0
99,8779.0673687431,8537.7599036744,8.55,1909013969.0,375803194.0,1614742.0,1613490.0,726.0,2792209.0,617789545.0,2859634.0,588676720.0,250.0,1119570.0,1614383.0
100,6380.5484926475,6489.1929647818,10.944,1838349363.0,361893443.0,1610746.0,1610630.0,210.0,3146171.0,618949841.0,3218553.0,564223933.0,866.0,1427551.0,1893901.0
101,7483.928364455,7500.8468203657,8.468,1937203858.0,369092768.0,1725899.0,1728301.0,621.0,2602258.0,618960603.0,2449268.0,606587496.0,510.0,1097172.0,1545545.0
102,7032.4045138739,6416.1641108984,7.513,2229833387.0,438855661.0,1702161.0,1701619.0,125.0,1247058.0,618949066.0,990563.0,711887425.0,225.0,516831.0,750313.0
103,1399.5894534465,1526.2865260813,169.04,2044512383.0,402193802.0,1669649.0,1669354.0,125.0,2539310.0,618277532.0,3482152.0,569156888.0,188.0,890839.0,1255286.0
104,3298.8789174952,4001.6127331852,17.763,1871982490.0,368458672.0,1721926.0,1724262.0,195.0,2452224.0,618265164.0,2792091.0,585090917.0,188.0,1219792.0,1733538.0
105,9139.9628372563,8194.9577012425,12.515,1894283346.0,369202986.0,1617139.0,1613253.0,308.0,3222070.0,618937215.0,2887323.0,570318173.0,313.0,1164173.0,1657288.0
106,1307.7273717832,1414.3610983737,15.245,1810834756.0,356402343.0,1609368.0,1608573.0,919.0,3257481.0,617982271.0,3331260.0,559823390.0,188.0,1343292.0,1891879.0
107,3010.5355210173,3695.9439097454,13.879,1734072474.0,341171729.0,2033611.0,2032047.0,1104.0,3288502.0,618213656.0,3505944.0,546160689.0,113.0,1431563.0,1812587.0
108,9361.1757439341,9142.0181324425,5.543,2048780394.0,396934440.0,1644889.0,1639058.0,691.0,2589173.0,618955036.0,2560672.0,587859314.0,313.0,1070583.0,1509150.0
109,7306.9260582951,7128.823579161,5.715,2225550813.0,436686422.0,1691954.0,1691633.0,280.0,1287212.0,617102538.0,1305943.0,685314014.0,150.0,505289.0,735913.0
110,5328.782291774,5227.25395285,59.962,2099453967.0,413767838.0,1630795.0,1630985.0,195.0,1805700.0,619001440.0,1923478.0,645849796.0,125.0,762619.0,1140309.0
111,4695.3250457021,4989.1374294325,5.097,1969133333.0,387796965.0,1631481.0,1631770.0,140.0,2515778.0,619028968.0,2515049.0,592821287.0,263.0,945493.0,1284890.0
112,7181.6290779921,6895.3609074797,5.37,1979010484.0,389672595.0,1633843.0,1636073.0,551.0,2444230.0,619006669.0,2484194.0,612143776.0,125.0,1108047.0,1576420.0
113,4884.9392248726,5222.9111362677,21.088,2145617938.0,422573395.0,1747553.0,1745562.0,165.0,1649176.0,618388604.0,1692590.0,664926787.0,138.0,238536.0,623646.0
114,7916.1495898632,7489.8467786361,12.806,2184341330.0,429965975.0,1690075.0,1690169.0,120.0,1468796.0,618290184.0,1679184.0,633792601.0,1157.0,638033.0,873043.0
115,3712.4887415051,3767.0858233516,8.672,2041880617.0,401748460.0,1644331.0,1647370.0,145.0,2141814.0,617666593.0,2067482.0,638091864.0,624.0,878745.0,1255857.0
116,4798.6598026327,5341.4478584225,8.163,1988749403.0,391316423.0,1633978.0,1592107.0,906.0,2431947.0,616879291.0,2867320.0,592239697.0,225.0,983814.0,1400157.0
117,9051.2424171224,8153.0908949237,13.337,1867383932.0,367168115.0,1614390.0,1614571.0,160.0,3181425.0,618979472.0,3146482.0,551063150.0,175.0,1250841.0,1767602.0
118,1402.311483929,2070.8289447327,7.539,1837665838.0,362819598.0,1612578.0,1612579.0,250.0,3055995.0,619046440.0,3212082.0,565650418.0,338.0,1301176.0,1828249.0
119,7831.213648707,7673.9970378001,11.766,2099046432.0,420805536.0,1652011.0,1707405.0,962.0,1570774.0,618867363.0,2185231.0,628573448.0,63.0,881957.0,1262900.0
